"","tipo_trabalho","funcao_trabalho","proportion","proportion_se","total","total_se","descricao","mes"
"98","Empregado","15",0.0258729467213084,0.000790018442664366,1013159.43235233,32125.9281745568,"Motorista de caminhão (caminhoneiro),","agosto"
"99","Empregado","16",0.00339292662205894,0.000344697102423473,132863.706923156,13552.2150907925,"Motoboy,","agosto"
"100","Empregado","17",0.0100553208260229,0.000512920517264445,393756.584820068,20305.0287791681,"Entregador de mercadorias (de restaurante, de farmácia, de loja, Uber Eats, IFood, Rappy etc.)","agosto"
"101","Empregado","18",0.0494129166764681,0.00123897977818093,1934961.76334536,50618.6295608264,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","agosto"
"102","Empregado","19",0.0267981377267448,0.000923157580428361,1049389.01238364,37616.0661033878,"Mecânico de veículos, máquinas industriais etc.","agosto"
"103","Empregado","20",0.0142029826015771,0.000815839906174194,556174.986379602,32376.4025020192,"Artesão, costureiro e sapateiro","agosto"
"104","Empregado","21",0.00427244669360386,0.000327862377315307,167304.857597928,12852.5956854519,"Cabeleireiro, manicure e afins","agosto"
"105","Empregado","22",0.052079630234474,0.00151043575183009,2039387.67291716,64068.2413498223,"Operador de máquinas, montador na indústria;","agosto"
"106","Empregado","23",0.0599347852756522,0.00148545512557465,2346987.90524807,62292.9813198229,"Auxiliar de produção, de carga e descarga;","agosto"
"107","Empregado","24",0.0219488818076864,0.000814142565645838,859496.866459725,32340.1353601444,"Professor da educação infantil, de ensino fundamental, médio ou superior,","agosto"
"108","Empregado","25",0.00437738759749874,0.000353783713249155,171414.241340179,13850.9564785118,"Pedagogo, professor de idiomas, música, arte e reforço escolar","agosto"
"109","Empregado","26",0.0161553122981236,0.000786297309567242,632626.318669814,31104.4840392312,"Médico, enfermeiro, profissionais de saúde de nível superior","agosto"
"110","Empregado","27",0.0183763710219112,0.000770871597367666,719600.818329741,30703.2058373847,"Técnico, profissional da saúde de nível médio","agosto"
"111","Empregado","28",0.00343014149412053,0.000310754759715679,134321.005121893,12185.0003860237,"Cuidador de crianças, doentes ou idosos","agosto"
"112","Empregado","29",0.0255901783461819,0.000943548525705471,1002086.49777258,38029.6284604166,"Segurança, vigilante, outro trabalhador dos serviços de proteção","agosto"
"113","Empregado","31",0.014276245794448,0.000671789448975066,559043.9017645,26527.796830038,"Porteiro, zelador","agosto"
"114","Empregado","32",0.00199411081668871,0.000256039741947335,78087.440323141,10029.9665948962,"Artista, religioso (padre, pastor etc.)","agosto"
"115","Empregado","33",0.0359197860311491,0.00178233992278025,1406583.88924692,72549.1680464722,"Diretor, gerente, cargo político ou comissionado","agosto"
"116","Empregado","34",0.0609488193360872,0.00180315288901525,2386696.49291389,72817.6736625252,"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)","agosto"
"117","Empregado","35",0.0548312415311274,0.00142502948153839,2147138.09537197,59696.773628802,"Outro técnico ou profissional de nível médio","agosto"
"118","Empregado","36",0.118921387070289,0.00210353737449431,4656845.86748119,94987.5176540945,"Outros","agosto"
"119","Empregador","06",0.290912361538895,0.0103979334542142,767120.094943144,31270.0022263945,"Comerciante (dono do bar, da loja etc.)","agosto"
"120","Empregador","08",0.00788763173106604,0.00168409824556478,20799.25641662,4463.23763555948,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)","agosto"
"121","Empregador","09",0.0073763195507057,0.00180166631000147,19450.95397162,4749.00294352194,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)","agosto"
"122","Empregador","10",0.00771499546389774,0.001555331134312,20344.023957744,4101.28807551761,"Cozinheiro e garçon (de restaurantes, empresas)","agosto"
"123","Empregador","11",0.00836926149216029,0.00170884253000703,22069.287934372,4501.1685341078,"Padeiro, açougueiro e doceiro","agosto"
"124","Empregador","12",0.0483154397688722,0.00394160380234561,127405.190163298,10403.3407548942,"Agricultor, criador de animais, pescador, silvicultor e jardineiro","agosto"
"125","Empregador","13",0.000190267675513643,0.000190337524998336,501.72552494,501.72552494,"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)","agosto"
"126","Empregador","14",0.00322858889128474,0.00108241858751503,8513.613528532,2853.29839977827,"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)","agosto"
"127","Empregador","15",0.0051706074878004,0.00113622196895322,13634.61107659,2988.37806746119,"Motorista de caminhão (caminhoneiro),","agosto"
"128","Empregador","16",0.000576247330756332,0.000575821466841008,1519.5329093,1519.5329093,"Motoboy,","agosto"
"129","Empregador","17",0.00104795961403413,0.00048783600347672,2763.41257677,1286.701859005,"Entregador de mercadorias (de restaurante, de farmácia, de loja, Uber Eats, IFood, Rappy etc.)","agosto"
"130","Empregador","18",0.0360694355730782,0.00357898888047546,95113.142305113,9406.86067501725,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","agosto"
"131","Empregador","19",0.0360973341728732,0.00347108309510695,95186.709397313,9173.41241771632,"Mecânico de veículos, máquinas industriais etc.","agosto"
"132","Empregador","20",0.00953809498678241,0.00174327030406483,25151.438368352,4618.70015277838,"Artesão, costureiro e sapateiro","agosto"
"133","Empregador","21",0.0109376017421589,0.00180380967507249,28841.86166071,4784.03839747361,"Cabeleireiro, manicure e afins","agosto"
"134","Empregador","23",0.0016968285022959,0.000727829480866438,4474.44458839,1918.64778671091,"Auxiliar de produção, de carga e descarga;","agosto"
"135","Empregador","25",0.000453775958372293,0.000233607164202426,1196.582553,615.41157340815,"Pedagogo, professor de idiomas, música, arte e reforço escolar","agosto"
"136","Empregador","26",0.037660504842122,0.00416472295799504,99308.705540286,11424.4669460589,"Médico, enfermeiro, profissionais de saúde de nível superior","agosto"
"137","Empregador","27",0.00172393324992082,0.000639486362156115,4545.91833554,1686.23905093851,"Técnico, profissional da saúde de nível médio","agosto"
"138","Empregador","29",0.000933454907653644,0.000509524193644392,2461.46988597,1344.53015195805,"Segurança, vigilante, outro trabalhador dos serviços de proteção","agosto"
"139","Empregador","32",0.00109807689728549,0.000854962623381616,2895.56913032,2258.82609458309,"Artista, religioso (padre, pastor etc.)","agosto"
"140","Empregador","33",0.278424777685331,0.0131673961687052,734191.014650088,45573.7164058531,"Diretor, gerente, cargo político ou comissionado","agosto"
"141","Empregador","34",0.106406750574265,0.00723736154630919,280588.82122205,21210.8913664749,"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)","agosto"
"142","Empregador","35",0.0152491015961397,0.00253595337183478,40211.052573867,6726.75104145224,"Outro técnico ou profissional de nível médio","agosto"
"143","Empregador","36",0.0829206487667361,0.00608191914959839,218657.246526738,16641.0747462053,"Outros","agosto"
"144","Trabalhador por conta própria","06",0.0821573822620414,0.00214308874975196,1891606.54350624,52629.6509459519,"Comerciante (dono do bar, da loja etc.)","agosto"
"145","Trabalhador por conta própria","08",0.0563018368228461,0.00172011675902085,1296303.75278792,41330.4573773419,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)","agosto"
"146","Trabalhador por conta própria","09",0.041126064890136,0.00143243126962077,946894.013817504,33909.5631049697,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)","agosto"
"147","Trabalhador por conta própria","10",0.0116694716940303,0.000794257640523979,268680.043203949,18452.035170445,"Cozinheiro e garçon (de restaurantes, empresas)","agosto"
